location_id,location_name,FIPS,cause_id,cause_name,sex_id,sex,year_id,mx,lower,upper
556,North Carolina,37,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Both,1980,56.84859016,54.98471204,58.81853357
556,North Carolina,37,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Both,1981,56.66623444,54.94526424,58.667351
556,North Carolina,37,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Both,1982,55.06615723,53.41986948,57.09946084
556,North Carolina,37,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Both,1983,55.02197224,53.42779981,56.83385138
556,North Carolina,37,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Both,1984,54.40456609,52.88415668,56.10388878
556,North Carolina,37,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Both,1985,56.03008335,54.56825329,57.76390427
556,North Carolina,37,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Both,1986,56.71636373,55.23342283,58.43118622
556,North Carolina,37,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Both,1987,58.12149605,56.73599355,59.77749912
556,North Carolina,37,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Both,1988,60.45842714,59.05795558,62.05326466
556,North Carolina,37,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Both,1989,60.78267007,59.33519911,62.33671418
556,North Carolina,37,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Both,1990,61.23904143,59.92165899,62.75908112
556,North Carolina,37,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Both,1991,63.10361799,61.76836883,64.61841216
556,North Carolina,37,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Both,1992,63.92655827,62.56379527,65.31207736
556,North Carolina,37,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Both,1993,66.69287936,65.23396141,68.18358151
556,North Carolina,37,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Both,1994,68.1735497,66.72371089,69.67056146
556,North Carolina,37,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Both,1995,68.61011766,67.06239135,70.17236896
556,North Carolina,37,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Both,1996,64.32677849,62.79271383,65.97315202
556,North Carolina,37,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Both,1997,59.15794409,57.6610683,60.73037722
556,North Carolina,37,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Both,1998,58.4401431,56.96155553,60.06391598
556,North Carolina,37,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Both,1999,59.19519636,57.76015625,60.82712168
556,North Carolina,37,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Both,2000,58.24255756,56.74803511,59.82976584
556,North Carolina,37,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Both,2001,57.00067182,55.6570289,58.51589632
556,North Carolina,37,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Both,2002,56.18060362,54.79459079,57.64421579
556,North Carolina,37,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Both,2003,55.54728728,54.12372254,56.9423308
556,North Carolina,37,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Both,2004,52.72589227,51.26096368,54.10084746
556,North Carolina,37,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Both,2005,52.22104179,50.61977785,53.64883306
556,North Carolina,37,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Both,2006,50.94480127,49.37892208,52.30175862
556,North Carolina,37,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Both,2007,49.71951438,47.99810272,51.02627889
556,North Carolina,37,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Both,2008,48.56303408,46.6327866,49.91673396
556,North Carolina,37,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Both,2009,48.22237557,46.10489741,49.59750211
556,North Carolina,37,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Both,2010,46.51710163,44.48532852,47.94911355
556,North Carolina,37,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Both,2011,45.83226375,43.66147083,47.27380078
556,North Carolina,37,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Both,2012,46.30846296,44.18731754,47.830888
556,North Carolina,37,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Both,2013,46.01176361,43.9203794,47.5918407
556,North Carolina,37,295,"Communicable, maternal, neonatal, and nutritional diseases",3,Both,2014,46.03807386,44.01205483,47.66628604
556,North Carolina,37,301,"Diarrhea, lower respiratory, and other common infectious diseases",3,Both,1980,40.39863114,38.82335689,42.04374614
556,North Carolina,37,301,"Diarrhea, lower respiratory, and other common infectious diseases",3,Both,1981,40.81985224,39.29428732,42.46320852
556,North Carolina,37,301,"Diarrhea, lower respiratory, and other common infectious diseases",3,Both,1982,39.89006359,38.48202089,41.4736307
556,North Carolina,37,301,"Diarrhea, lower respiratory, and other common infectious diseases",3,Both,1983,40.39907734,39.03402951,41.87971948
556,North Carolina,37,301,"Diarrhea, lower respiratory, and other common infectious diseases",3,Both,1984,40.05457812,38.72562144,41.45651862
556,North Carolina,37,301,"Diarrhea, lower respiratory, and other common infectious diseases",3,Both,1985,41.24532556,39.94212224,42.68872687
556,North Carolina,37,301,"Diarrhea, lower respiratory, and other common infectious diseases",3,Both,1986,41.35930296,40.01820537,42.7575946
556,North Carolina,37,301,"Diarrhea, lower respiratory, and other common infectious diseases",3,Both,1987,40.88533502,39.58317291,42.22926988
556,North Carolina,37,301,"Diarrhea, lower respiratory, and other common infectious diseases",3,Both,1988,41.84761475,40.58324141,43.22805162
556,North Carolina,37,301,"Diarrhea, lower respiratory, and other common infectious diseases",3,Both,1989,40.60427799,39.37979207,41.94027149
556,North Carolina,37,301,"Diarrhea, lower respiratory, and other common infectious diseases",3,Both,1990,40.53247772,39.36199153,41.86991666
556,North Carolina,37,301,"Diarrhea, lower respiratory, and other common infectious diseases",3,Both,1991,40.8104567,39.59304466,42.13425751
556,North Carolina,37,301,"Diarrhea, lower respiratory, and other common infectious diseases",3,Both,1992,40.50433703,39.22922674,41.76875347
556,North Carolina,37,301,"Diarrhea, lower respiratory, and other common infectious diseases",3,Both,1993,41.77220443,40.48618761,43.08012874
556,North Carolina,37,301,"Diarrhea, lower respiratory, and other common infectious diseases",3,Both,1994,41.87242502,40.55673583,43.23196267
556,North Carolina,37,301,"Diarrhea, lower respiratory, and other common infectious diseases",3,Both,1995,42.24490925,40.88474749,43.7058061
556,North Carolina,37,301,"Diarrhea, lower respiratory, and other common infectious diseases",3,Both,1996,41.76758149,40.3853124,43.29800661
556,North Carolina,37,301,"Diarrhea, lower respiratory, and other common infectious diseases",3,Both,1997,41.24011174,39.88441932,42.72699336
556,North Carolina,37,301,"Diarrhea, lower respiratory, and other common infectious diseases",3,Both,1998,41.37619706,40.07946077,42.98033846
556,North Carolina,37,301,"Diarrhea, lower respiratory, and other common infectious diseases",3,Both,1999,41.62871916,40.32379662,43.17224242
556,North Carolina,37,301,"Diarrhea, lower respiratory, and other common infectious diseases",3,Both,2000,41.0152825,39.74118995,42.45744317
556,North Carolina,37,301,"Diarrhea, lower respiratory, and other common infectious diseases",3,Both,2001,40.08086547,38.84237276,41.45662008
556,North Carolina,37,301,"Diarrhea, lower respiratory, and other common infectious diseases",3,Both,2002,39.54970429,38.28408981,40.85147687
556,North Carolina,37,301,"Diarrhea, lower respiratory, and other common infectious diseases",3,Both,2003,39.38167087,38.12023314,40.63277104
556,North Carolina,37,301,"Diarrhea, lower respiratory, and other common infectious diseases",3,Both,2004,37.27159735,36.02633282,38.48341173
556,North Carolina,37,301,"Diarrhea, lower respiratory, and other common infectious diseases",3,Both,2005,37.20027724,35.83111045,38.46360221
556,North Carolina,37,301,"Diarrhea, lower respiratory, and other common infectious diseases",3,Both,2006,36.53873118,35.17981721,37.75251077
556,North Carolina,37,301,"Diarrhea, lower respiratory, and other common infectious diseases",3,Both,2007,35.71505721,34.04654175,36.89209678
556,North Carolina,37,301,"Diarrhea, lower respiratory, and other common infectious diseases",3,Both,2008,35.27639043,33.53917983,36.4958942
